docking_rank,smiles,zinc_id,druglike_ok,mw,logp,hbd,hba,tpsa,rotb,has_alert,sim_nutlin-3,sim_idasanutlin,max_ref_similarity,vina_affinity_kcal_mol
1,COc1cc2c(c(OC)c1)[C@H](c1ccc(Cl)cc1)CC(=O)N2,4488995,True,317.7720000000001,3.8313000000000015,1,3,47.56,3,False,0.3291139240506329,0.1818181818181818,0.3291139240506329,-8.426
2,O=C1CN(C(=O)c2nn(Cc3ccccc3)c3c2CN(CCCc2ccccc2)CC3)CCN1,14538052,True,457.5780000000003,2.4943,1,4,70.47,7,False,0.2346938775510204,0.0901639344262295,0.2346938775510204,-8.136
3,O=C1CNc2nc(C(=O)N3CCC(Oc4ccc(Cl)cc4)CC3)ccc2N1,2325804728,True,386.8390000000001,2.7825999999999995,2,5,83.56,3,False,0.2637362637362637,0.1238938053097345,0.2637362637362637,-8.126
4,COc1ccccc1NC(=O)C1=C(C)Nc2nnnn2[C@@H]1c1ccccc1OC,13125218,True,392.4190000000001,2.617900000000001,2,7,103.19,5,False,0.1770833333333333,0.2376237623762376,0.2376237623762376,-8.027
5,CC1=C(C(=O)OC(C)C)[C@H](c2ccc(Cl)cc2)n2c(s/c(=C\c3ccc(C(=O)O)cc3)c2=O)=N1,1901601,True,496.9720000000002,3.538400000000002,1,6,97.96,5,False,0.2424242424242424,0.1538461538461538,0.2424242424242424,-7.965
6,COc1ccc([C@@H]2[C@@H]3CNC[C@@H]3CN2C(=O)c2ccc(-n3ccnc3)cc2)cc1,2384412235,True,388.471,2.913600000000001,1,4,59.39,4,False,0.2395833333333333,0.1293103448275862,0.2395833333333333,-7.913
7,O=C(O)c1ccc(Cl)c(NC(=O)c2ccccc2Cl)c1,5068322,True,310.136,3.943900000000001,2,2,66.4,3,False,0.1149425287356321,0.2528735632183908,0.2528735632183908,-7.904
8,COc1ccc2oc(N3CCC[C@@H](CC(=O)N4CCc5n[nH]cc5C4)C3)nc2c1,1857668365,True,395.46300000000014,2.750900000000001,1,6,87.49,4,False,0.238095238095238,0.1269841269841269,0.238095238095238,-7.757
9,COc1cccc(CN2CCc3c(c(C(=O)N4CCNC(=O)C4)nn3Cc3ccccc3)C2)c1,14539886,True,459.5500000000002,2.0703,1,5,79.70000000000002,6,False,0.3229166666666667,0.1393442622950819,0.3229166666666667,-7.751
10,COc1ccc(-c2nn(-c3ccccc3)cc2CN2CCNC(=O)C2)c(F)c1,55154650,True,380.4230000000002,2.6188,1,4,59.39,5,False,0.3043478260869565,0.1379310344827586,0.3043478260869565,-7.699
11,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1O,113303383,True,319.72300000000007,3.880100000000002,2,5,67.27000000000001,3,False,0.134020618556701,0.2448979591836734,0.2448979591836734,-7.673
12,COc1ccc(OC)c(N2CCN(C(=O)c3ccc(Cl)cc3)[C@@H](C)C2=O)c1,37523328,True,388.8510000000001,3.234700000000002,0,4,59.080000000000005,4,False,0.3023255813953488,0.1923076923076923,0.3023255813953488,-7.589
13,COc1ccc(OC)c(N2CCN(C(=O)c3ccc(Cl)cc3)[C@H](C)C2=O)c1,37523327,True,388.8510000000001,3.234700000000002,0,4,59.080000000000005,4,False,0.3023255813953488,0.1923076923076923,0.3023255813953488,-7.578
14,COc1ccc([C@@H]2[C@@H]3CNC[C@@H]3CN2C(=O)c2ccc(Cl)cc2OC)cc1,2384426974,True,386.879,3.3899000000000017,1,4,50.8,4,False,0.3068181818181818,0.1981132075471698,0.3068181818181818,-7.567
15,O=C1CN(C(=O)OCC2c3ccccc3-c3ccccc32)CCN1,43215009,True,322.3640000000001,2.3673,1,3,58.64,2,False,0.3037974683544304,0.1274509803921568,0.3037974683544304,-7.527
16,COc1ccc(-c2[nH]nc3c2[C@@H](c2cc(C(C)=O)cn2C)CC(=O)N3)c(OC)c1,2386275945,True,394.43100000000015,3.109100000000001,2,5,98.24,5,False,0.3085106382978723,0.1440677966101695,0.3085106382978723,-7.507
17,COc1ccccc1CCNC(=O)Nc1ccc(Cl)cc1F,20274820,True,322.76700000000005,3.8519000000000014,2,2,50.36,5,False,0.1720430107526881,0.3010752688172043,0.3010752688172043,-7.485
18,Cc1n[nH]c2c1[C@H](c1ccc(OC(C)C)c(CO)c1)CC(=O)N2,67851179,True,315.37300000000005,2.4717200000000004,3,4,87.24000000000001,4,False,0.2637362637362637,0.1238938053097345,0.2637362637362637,-7.481
19,COc1cccc(N2CCN(Cc3ccc(Cl)cc3)CC2)c1,55291845,True,316.83200000000005,3.6708000000000025,0,3,15.71,4,False,0.2345679012345679,0.1546391752577319,0.2345679012345679,-7.413
